20242,IT0003201198,Societa Iniziative Autostrada
20243,IT0004239510,SNIA SpA
20244,IT0000074903,Snai SpA
20245,IT0000076536,Sogefi SpA
20246,IT0001206769,SOL SpA
20247,IT0003836720,Societa Partecipazioni Finanz
20248,IT0000068525,Saipem SpA
20250,IT0001007209,Banca Popolare di Spoleto SpA
20251,IT0003153415,Snam Rete Gas SpA
20252,IT0003544431,Sorin SpA
20253,IT0000433307,Saras SpA
20254,IT0001042297,Sadi Servizi Industriali SpA
20255,IT0003621783,Societa Sportiva Lazio SpA
20256,IT0003149595,Stefanel
20258,NL0000226223,STMicroelectronics NV
20259,IT0003977540,Ansaldo STS SpA
20260,IT0001424644,Tas Tecnologia Avanzata dei S
20261,LU0156801721,Tenaris SA
20262,IT0001351383,Trevi Finanziaria SpA
20263,IT0001453924,Tiscali SpA
20264,IT0003497168,Telecom Italia SpA
20266,IT0001389920,Telecom Italia Media SpA
20268,IT0003007728,Tod's SpA
20269,IT0003242622,Terna Rete Elettrica Nazional
20270,IT0003347652,Trevisan Cometal SpA
20271,IT0001454435,TXT e-solutions SpA
20272,IT0003487029,Unione di Banche Italiane SCP
20273,IT0000064854,UniCredit SpA
20275,IT0001074571,Unipol Gruppo Finanziario SpA
20276,IT0001074589,Unipol Gruppo Finanziario SpA
20277,IT0004375389,Uni Land SpA
20278,IT0000062882,Vittoria Assicurazioni SpA
20279,IT0003127898,Vianini Industria SpA
20280,IT0003127864,Vianini Lavori SpA
20281,IT0003081475,I Viaggi del Ventaglio SpA
20282,IT0001477402,Exprivia SpA
20283,IT0000080553,Zucchi SpA - Vincenzo Zucchi
20285,IT0004171440,Zignago Vetro SpA
20286,IT0004092216,Cogeme
20287,IT0004095888,Biancamano
20288,IT0001353140,Exor SpA
20289,IT0004954662,World Duty Free SpA
20290,IT0003540470,Yoox SpA
20291,IT0004359037,TerniEnergia SpA
20292,IT0004490576,Prelios SpA
20293,IT0004497712,Enel SpA
20294,IT0004827447,Fondiaria-Sai SpA
20295,IT0004497704,Enel Fungibile 2009
20296,IT0004894900,Moleskine Spa
20297,IT0004984842,Banca Monte dei Paschi di Siena
20298,IT0005002883,Banco Popolare
20299,IT0004931058,Maire Tecnimont
20300,IT0004623051,Pirelli & C
20301,IT0000066123,Banca Popolare dell'Emilia Romagna
20302,IT0004618465,Enel Green Power
20303,IT0004712375,Salvatore Ferragamo
20304,NL0010545661,CNH Industrial NV
20305,NL0010877643,Fiat Chrysler Automobiles NV
